process	tag	realtime	%cpu	%mem	rss	peak_rss	peak_vmem	duration	memory
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:MOFA:MOFA_PREDICT	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0-fold_1	8.5s	80.5%	0.2%	438.9 MB	438.9 MB	562.7 MB	45.8s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:MOFA:MOFA_PREDICT	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0-fold_2	8.9s	80.2%	0.2%	442.5 MB	442.5 MB	569.7 MB	43.5s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0-fold_2-diablo-null	3.5s	72.5%	0.1%	152.4 MB	152.4 MB	255 MB	41.1s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREDICT	sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0-fold_2	3.2s	63.3%	0.1%	202.1 MB	202.1 MB	301.8 MB	25.3s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREDICT	sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0-fold_1	3.6s	64.1%	0.1%	205.1 MB	205.1 MB	304.9 MB	25.2s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREDICT	sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0-fold_4	3.4s	66.4%	0.1%	200 MB	200 MB	291.3 MB	23.9s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREDICT	sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0-fold_5	3.2s	66.9%	0.1%	206.3 MB	206.3 MB	369.9 MB	39.9s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREDICT	sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0-fold_3	3.2s	69.6%	0.1%	201.1 MB	201.1 MB	300.1 MB	39.9s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREDICT	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0-fold_3	2.8s	72.4%	0.1%	201.7 MB	201.7 MB	301.8 MB	38.6s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREDICT	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0-fold_1	2.9s	70.1%	0.1%	207.3 MB	207.3 MB	371 MB	36.2s	6 GB
