method_name,dataset,fold,accuracy,balanced_accuracy,precision,average_precision_score,recall,f1_score,auc,log_loss,phi_coefficient
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-1,fold_1,0.4,0.4,0.333,0.467,0.2,0.25,0.48,21.626,-0.218
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-1,fold_2,0.4,0.4,0.333,0.467,0.2,0.25,0.64,21.626,-0.218
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-1,fold_3,0.4,0.4,0.333,0.467,0.2,0.25,0.32,21.626,-0.218
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-1,fold_4,0.6,0.6,0.6,0.56,0.6,0.6,0.52,14.417,0.2
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-1,fold_5,0.6,0.6,0.667,0.567,0.4,0.5,0.68,14.417,0.218
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-1_e-1_sigma-def_corr-0,fold_1,0.7,0.7,0.75,0.65,0.6,0.667,0.84,10.813,0.408
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-1_e-1_sigma-def_corr-0,fold_2,0.6,0.6,0.667,0.567,0.4,0.5,0.88,14.417,0.218
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-1_e-1_sigma-def_corr-0,fold_3,0.8,0.8,0.8,0.74,0.8,0.8,0.96,7.209,0.6
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-1_e-1_sigma-def_corr-0,fold_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-1_e-1_sigma-def_corr-0,fold_5,0.8,0.8,0.8,0.74,0.8,0.8,0.88,7.209,0.6
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-1_e-1_sigma-def_corr-0.5,fold_1,0.9,0.9,1.0,0.9,0.8,0.889,0.84,3.604,0.816
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-1_e-1_sigma-def_corr-0.5,fold_2,0.8,0.8,0.8,0.74,0.8,0.8,0.84,7.209,0.6
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-1_e-1_sigma-def_corr-0.5,fold_3,0.9,0.9,0.833,0.833,1.0,0.909,0.88,3.604,0.816
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-1_e-1_sigma-def_corr-0.5,fold_4,0.9,0.9,1.0,0.9,0.8,0.889,1.0,3.604,0.816
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-1_e-1_sigma-def_corr-0.5,fold_5,0.8,0.8,0.8,0.74,0.8,0.8,0.96,7.209,0.6
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-1_e-1_sigma-def_corr-1,fold_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-1_e-1_sigma-def_corr-1,fold_2,0.9,0.9,1.0,0.9,0.8,0.889,0.92,3.604,0.816
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-1_e-1_sigma-def_corr-1,fold_3,0.7,0.7,0.625,0.625,1.0,0.769,0.58,10.813,0.5
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-1_e-1_sigma-def_corr-1,fold_4,0.9,0.9,1.0,0.9,0.8,0.889,1.0,3.604,0.816
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-1_e-1_sigma-def_corr-1,fold_5,0.6,0.6,0.6,0.56,0.6,0.6,0.72,14.417,0.2
cooperative_learning,sim-data_strategy-mvn_n-100_p-1000_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_1,0.6,0.606,0.667,0.614,0.545,0.6,0.636,14.417,0.212
cooperative_learning,sim-data_strategy-mvn_n-100_p-1000_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_2,0.75,0.732,0.714,0.699,0.909,0.8,0.788,9.011,0.504
cooperative_learning,sim-data_strategy-mvn_n-100_p-1000_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_3,0.7,0.677,0.667,0.656,0.909,0.769,0.682,10.813,0.406
cooperative_learning,sim-data_strategy-mvn_n-100_p-1000_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_4,0.6,0.576,0.6,0.591,0.818,0.692,0.727,14.417,0.174
cooperative_learning,sim-data_strategy-mvn_n-100_p-1000_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_5,0.6,0.596,0.636,0.605,0.636,0.636,0.566,14.417,0.192
cooperative_learning,sim-data_strategy-mvn_n-100_p-1000_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_1,0.5,0.458,0.333,0.383,0.25,0.286,0.417,18.022,-0.089
